нілагерцаў	кілагерцаў
аедала	ведала
млтыкі	матыкі
працягнае	працягвае
яулічныя	вулічныя
гучлнне	гучанне
мехакізатар	механізатар
пайшырэйшы	найшырэйшы
Двмагліся	Дамагліся
мірнзй	мірнай
зркестры	аркестры
пралаўцом	прадаўцом
эгуртаваў	згуртаваў
флльклорам	фальклорам
здужан	здужай
характарызуешіа	характарызуецца
раэбягаецца	разбягаецца
мулрым	мудрым
Рэчынкага	Рэчыцкага
албіраць	адбіраць
уяўляеццз	уяўляецца
Падаюнь	Падаюць
камуністычвай	камуністычнай
аднускае	адпускае
звсрам	зверам
масаяік	масавік
непаўнвцэнных	непаўнацэнных
свлісткі	салісткі
хаалююць	хвалююць
сучаснвга	сучаснага
сучаенасці	сучаснасці
выніскае	выціскае
прывілсі	прывілеі
інжыііеры	інжынеры
прыйсні	прыйсці
відавочнлга	відавочнага
каркясны	каркасны
трохпакаёвлй	трохпакаёвай
плотах	платах
сустрэцпа	сустрэцца
гзсцяваў	гасцяваў
звязаііа	звязана
округі	акругі
свллата	свалата
імперыіі	імперый
выхаваннсм	выхаваннем
Талакт	Талант
шматлюлных	шматлюдных
Саквлоў	Сакалоў
патрэблю	патрэбаю
япошніх	апошніх
каіітыненты	кантыненты
намаллціў	намалаціў
сыравіпы	сыравіны
мастлцкім	мастацкім
Рэспубліклнскі	Рэспубліканскі
балалаечніні	балалаечнікі
даручанм	даручаны
нугаль	вугаль
нврысістаў	нарысістаў
эмоўклі	змоўклі
папаўненнсм	папаўненнем
псралому	пералому
нырашыць	вырашыць
крайко	крайка
ачыстны	ачыстцы
выдвнні	выданні
сельгавета	сельсавета
аднайменнагл	аднайменнага
саксафонс	саксафоне
адпускасцца	адпускаецца
прэтэнэіі	прэтэнзіі
гнсвам	гневам
стваральнінаў	стваральнікаў
пустыпі	пустыні
лозіркам	позіркам
расклалвае	раскладвае
наложапь	наложаць
дзяржааамі	дзяржавамі
чалавецтвя	чалавецтва
алвячоркам	адвячоркам
нерагляду	перагляду
пройшло	прайшло
студінт	студэнт
эмяніў	змяніў
напружанач	напружанае
характарнагз	характарнага
маскаічоў	масквічоў
снежкзмі	снежкамі
перанананы	перакананы
акружанн	акружаны
Капылн	Капылы
імнерыялізм	імперыялізм
ваколінах	ваколіцах
спакушаешіа	спакушаецца
пратаптанаіі	пратаптанай
мяладосцю	маладосцю
напзўна	напэўна
зацікавіля	зацікавіла
РазпажаЮчы	РазважаЮчы
эборнай	зборнай
лланеты	планеты
кянсерваторыі	кансерваторыі
вентыляцыііных	вентыляцыйных
высечвны	высечаны
цяперашпім	цяперашнім
парэкамендавань	парэкамендаваць
зртысткай	артысткай
суетрэлі	сустрэлі
Атрымліваецііа	Атрымліваецца
нрывітаўшыся	прывітаўшыся
легенлы	легенды
сябропак	сябровак
кальнуля	кальнула
куткях	кутках
Выстаўну	Выстаўку
ладрыхтаваны	падрыхтаваны
камендлнцкай	каменданцкай
мяспых	мясных
наборшчыцаіі	наборшчыцай
дапамвгае	дапамагае
кезразумелы	незразумелы
пазнаўшм	пазнаўшы
спаўных	слаўных
шлхцёраў	шахцёраў
недамстваў	ведамстваў
няэначным	нязначным
янаходзіць	знаходзіць
мсханічны	механічны
квітнсюць	квітнеюць
Адбыааецца	Адбываецца
вочанькі	ночанькі
сятырычным	сатырычным
аядомыя	вядомыя
актыпу	актыву
Доктарзм	Доктарам
Гасцеіі	Гасцей
выхавзнню	выхаванню
нерагу	нерату
істотііым	істотным
затокаў	затонаў
радвснага	радаснага
іеціна	ісціна
абвінавачвапня	абвінавачвання
гвзету	газету
ліхамаіікава	ліхаманкава
дабраўпарадкаваны	добраўпарадкаваны
Калгаснікэ	Калгаснікі
бачылв	бачыла
тварвм	тварам
хааробы	хваробы
мужчмнскім	мужчынскім
газетз	газета
затрымліяай	затрымлівай
сочыпь	сочыць
Пвдобныя	Падобныя
бявоўну	бавоўну
адлюстраванм	адлюстраваны
наэваць	назваць
пвводзінах	паводзінах
скардзяцця	скардзяцца
скупмя	скупыя
кіраўніцтвл	кіраўніцтва
аддзяленіія	аддзялення
падпарадкапаць	падпарадкаваць
Уплятаешіа	Уплятаецца
паўсядэённа	паўсядзённа
танмамі	таймамі
волаправодзе	водаправодзе
кікастудыі	кінастудыі
выпедку	выведку
электрычнас	электрычнае
агрэсяраў	агрэсараў
абавязковз	абавязкова
набірань	набіраць
вядзенна	вядзення
паўшар'с	паўшар'е
адказпасць	адказнасць
радыёактыўнымі	радыеактыўнымі
нвстаўнік	настаўнік
яобразнаму	вобразнаму
кончынь	кончыць
намеснікзм	намеснікам
гярачыні	гарачыні
інтэлігентв	інтэлігента
маляааць	маляваць
патрабуецс	патрабуеце
Астраўна	Астраўка
перлможцамі	пераможцамі
тонунь	тонуць
адзінаг	адзінае
мянеру	манеру
канвеерл	канвеера
ператвораііы	ператвораны
патрульвых	патрульных
выіірабаванні	выпрабаванні
зтнограф	этнограф
плдзяліўся	падзяліўся
ііястомна	нястомна
ластатак	дастатак
раскідаае	раскідвае
параўноўвасцца	параўноўваецца
дзяржяўны	дзяржаўны
супрацьлсглых	супрацьлеглых
узлрыгваюць	уздрыгваюць
слробы	спробы
вучыцііа	вучыцца
селетняй	сёлетняй
начынаючым	пачынаючым
эталонлм	эталонам
Ідэйнаснь	Ідэйнасць
фельчлр	фельчар
шыльлаю	шыльдаю
пыхаванцам	выхаванцам
савене	савеце
нврыхтаваць	нарыхтаваць
недастаткопы	недастатковы
саяткуюць	святкуюць
глдзіну	гадзіну
еклаўся	склаўся
калгзс	калгас
грывае	трывае
квлыхалі	калыхалі
канвесра	канвеера
нямсцкімі	нямецкімі
настун	наступ
слпраўдную	сапраўдную
ружоаымі	ружовымі
выдаюнь	выдаюць
рэвяльвера	рэвальвера
канфсрансу	канферансу
слўгасах	саўгасах
Мёргвыя	Мёртвыя
пзходзіў	паходзіў
эмрочна	змрочна
Гомельскаіі	Гомельскай
штодзёнйыя	штодзённыя
гвардзейсквя	гвардзейская
арытінальную	арыгінальную
малснькім	маленькім
кваліфікавяных	кваліфікаваных
адпаведнм	адпаведны
вышыўкяй	вышыўкай
маўкліваіі	маўклівай
спецыялістлмі	спецыялістамі
штурмвм	штурмам
адстойвое	адстойвае
Іменііа	Іменна
варыянне	варыянце
няўстонлівы	няўстойлівы
лоўгімі	доўгімі
Пайгрзй	Пайграй
палюбяііь	палюбяць
лэкадзе	дэкадзе
верасна	верасня
сядзейнічаюць	садзейнічаюць
Захолняй	Заходняй
праезл	праезд
ссрванта	серванта
традыцыйнаіі	традыцыйнай
радясна	радасна
піяпісты	піяністы
кніжач	кніжак
прыёыы	прыёмы
Васнны	Ваенны
перарастас	перарастае
пзхавання	пахавання
скульнтурнай	скульптурнай
падымс	падыме
прымес	прымее
чарнабронай	чарнабровай
Баяное	Баявое
наллдзіў	наладзіў
елесары	слесары
сакааітымі	сакавітымі
створвных	створаных
майетэрні	майстэрні
міласню	міласцю
пядыходзіць	падыходзіць
рэпертуврны	рэпертуарны
гаснадарчай	гаспадарчай
Бялеаіча	Бялевіча
задуменнзсці	задуменнасці
эпіэодах	эпізодах
выканаііь	выканаць
калгасііае	калгаснае
круцяпь	круцяць
устаняўленнем	устанаўленнем
цярпліаыя	цярплівыя
Кястрычніка	Кастрычніка
экспанвт	экспанат
абавязяцельства	абавязацельства
зллачу	залачу
лктывістаў	актывістаў
эдабычу	здабычу
Загар'і	Загор'і
нрадоўжылася	прадоўжылася
франтааыя	франтавыя
лілнёвым	ліпнёвым
дакладнасііь	дакладнасць
адамкнунь	адамкнуць
датэрміноаым	датэрміновым
налятзў	налятаў
гврыць	гарыць
нспрызнанне	непрызнанне
лададзеныя	зададзеныя
паслухлйце	паслухайце
дангсла	данесла
актывізаввлася	актывізавалася
драмвтургічнага	драматургічнага
дзкаратарам	дэкаратарам
завяршэніія	завяршэння
нлацяць	плацяць
нярэдна	нярэдка
Гарілі	Гарэлі
зпярнуць	звярнуць
прыгуд	прысуд
эмушаны	змушаны
прамоваіі	прамовай
мовазнлўчага	мовазнаўчага
багатм	багаты
крэпзсць	крэпасць
золіваючыся	заліваючыся
нарыянты	варыянты
пажынлюць	пажынаюць
пейзлжах	пейзажах
Пяравоз	Паравоз
Москву	Маскву
гарадскоЯ	гарадскаЯ
чалікай	калікай
плсмяротнае	пасмяротнае
распрвцоўвалі	распрацоўвалі
напежыць	належыць
стварапь	ствараць
пракллдку	пракладку
сааякі	сваякі
прызначэііні	прызначэнні
хваляввннем	хваляваннем
арганізаііыя	арганізацыя
абавязяк	абавязак
зняходзім	знаходзім
прызнвчэнняў	прызначэнняў
змястоўняй	змястоўнай
Камады	Камоды
выкананкя	выканання
нрычосцы	прычосцы
малядая	маладая
псрадаваць	перадаваць
заціканяць	зацікавяць
кульгурны	культурны
ахояай	аховай
тэлебачаііню	тэлебачанню
ГаворнІ	ГаворкІ
някіраваны	накіраваны
асобнзй	асобнай
Вынешаны	Вывешаны
пасхаць	паехаць
лфіцэра	афіцэра
Месеры	Мегеры
акііёры	акцёры
ііарысе	нарысе
дзёсьці	дзесьці
Дяведнік	Даведнік
палрыхтуецца	падрыхтуецца
гсалагічная	геалагічная
адпусаілі	адпусцілі
разглядлць	разглядаць
дастатковв	дастаткова
нзўрад	наўрад
донтара	доктара
Вагілеўскі	Васілеўскі
наліцыі	паліцыі
козагалоўлі	козагадоўлі
кніжпікі	кніжнікі
прабіваюнь	прабіваюць
праднасылка	прадпасылка
душэўнммі	душэўнымі
Гомельсклй	Гомельскай
каленне	чаленне
зважлючы	зважаючы
выхованні	выхаванні
спаборніцтаы	спаборніцтвы
нырвалася	вырвалася
большле	большае
знаншлася	знайшлася
буннейшых	буйнейшых
літараТурнля	літараТурная
Слнеты	Санеты
лолунгам	лозунгам
абвуглілв	абвугліла
гоіаду	голаду
партызян	партызан
чунаць	чуваць
незадяволены	незадаволены
знаіісці	знайсці
кямедыі	камедыі
вакзлла	вакзала
вечарн	вечары
севнсы	сеансы
спаборніцгва	спаборніцтва
Скульнтар	Скульптар
наніраваны	накіраваны
аднаніць	аднавіць
прыстасоўнаючы	прыстасоўваючы
гвідраваць	свідраваць
арганічнл	арганічна
экрлнізацыю	экранізацыю
арбітвю	арбітаю
эагарадкі	загарадкі
саіней	свіней
Сімфанічпыя	Сімфанічныя
ганарояая	ганаровая
Артыкулям	Артыкулам
металычную	метадычную
Друкаркя	Друкарня
калітан	капітан
асігтэнту	асістэнту
Бнваюць	Бываюць
абуткован	абутковай
шчырлй	шчырай
дружмш	дружыш
падмацоўваўея	падмацоўваўся
парожа	варожа
нынаходцах	вынаходцах
канады	каналы
лэкада	дэкада
дакумептальных	дакументальных
прысвячвю	прысвячаю
лэкаратыўным	дэкаратыўным
прачду	праеду
псіхллагічныя	псіхалагічныя
адрывань	адрываць
літаратурка	літаратурна
канферэнныях	канферэнцыях
гарсаяет	гарсавет
нлубных	клубных
ведяла	ведала
Блчылы	Бачылы
чорнаіі	чорнай
мелалычнай	меладычнай
тэлтральнага	тэатральнага
выкарыетоўвае	выкарыстоўвае
надкрэсленаю	падкрэсленаю
палпарадкаваць	падпарадкаваць
няпэўнл	няпэўна
бытаных	бытавых
гандлёаы	гандлёвы
Крыаічы	Крывічы
адзіпокім	адзінокім
слухачз	слухача
кірпатан	кірпатай
Адзеііне	Адзенне
клрыстання	карыстання
рунлівай	руплівай
цінавым	цікавым
беллрус	беларус
вопрагкай	вопраткай
нрыедзем	прыедзем
музнкай	музыкай
Стукасм	Стукаем
пераходнмх	пераходных
абліччз	аблічча
прасгораў	прастораў
Укаэам	Указам
рэжыгёр	рэжысёр
Выбачайцс	Выбачайце
всянні	веянні
ввлікай	вялікай
пагава	пагана
недалечка	недалёчка
метадлмі	метадамі
працзўнікі	працаўнікі
бзчыць	бачыць
лсгендарнага	легендарнага
плступаюць	паступаюць
працяглмя	працяглыя
сямействл	сямейства
дэкараііый	дэкарацый
валалазы	вадалазы
етанцыі	станцыі
прааодзіўся	праводзіўся
ральняй	рольняй
Разпедчыкі	Разведчыкі
эмоаый	эмоцый
ЛенІііскІ	ЛенІнскІ
нераскоквае	пераскоквае
павікен	павінен
кандыдага	кандыдата
нзвелістычным	навелістычным
адбудзецпа	адбудзецца
дэталёна	дэталёва
глрмату	гармату
лекарач	лекарак
даякую	дзякую
думзецца	думаецца
налгасны	калгасны
ствврае	стварае
філярмонія	філармонія
адначагова	адначасова
апаэтызавлць	апаэтызаваць
трынаццяці	трынаццаці
паляросах	папяросах
нвлічвалася	налічвалася
лдтуль	адтуль
дзяжурствз	дзяжурства
летнін	летнік
сталіцл	сталіца
длстойна	дастойна
выконаае	выконвае
палставай	падставай
дзяржлўную	дзяржаўную
эласліўцаў	зласліўцаў
Сааецкаму	Савецкаму
рлдыёкамітэта	радыёкамітэта
лцаніла	ацаніла
зсфаліі	асфаліі
імпсрыялісты	імперыялісты
прадуманмя	прадуманыя
камбінатм	камбінаты
паляглі	наляглі
канлву	канаву
крыаіць	крывіць
янглійскага	англійскага
аатрымлівацца	затрымлівацца
калгвсу	калгасу
пепрымірымым	непрымірымым
навсдваць	наведваць
Прыцягвас	Прыцягвае
кланяешіа	кланяецца
суетрэць	сустрэць
кліклў	клікаў
людскогл	людскога
целлаходы	цеплаходы
вяліку	валіку
выступіііь	выступіць
праланаваць	прапанаваць
Пазнань	Пазнаць
палепшаннс	палепшанне
Выконввючы	Выконваючы
эайшоўшы	зайшоўшы
нерадайце	перадайце
разганарыўся	разгаварыўся
забыпаліся	забываліся
аматлрам	аматарам
адмоніцца	адмовіцца
дэталева	дэталёва
настаноўку	пастаноўку
званаг	званае
адліта	адліга
няпружаных	напружаных
нанцэртмайстар	канцэртмайстар
Інструмептальнага	Інструментальнага
калоняў	калонаў
глухог	глухое
панааання	панавання
чакялі	чакалі
дзлегатамі	дэлегатамі
сныненні	спыненні
чацвёртан	чацвёртай
саяецкімі	савецкімі
паэакласных	пазакласных
павучзльнасцю	павучальнасцю
жллезных	жалезных
Шчырач	Шчырае
плтайны	патайны
адгаварвала	адгаворвала
Беларускагз	Беларускага
сталяпар	сталявар
гтановішча	становішча
даглялалі	даглядалі
белярускім	беларускім
баранв	барана
ЦІнавая	ЦІкавая
падобнв	падобна
клляровая	каляровая
Карыскым	Карысным
геніяльпым	геніяльным
лааачкай	лавачкай
1нжынераў	інжынераў
Раздадося	Раздалося
гумовых	гумавых
лраводзіцца	праводзіцца
горнлй	горнай
прапагзндзе	прапагандзе
спалучэннсм	спалучэннем
выпрвбаванні	выпрабаванні
даўгавечнаспь	даўгавечнасць
льюшіа	льюцца
нраявіў	праявіў
закапчэння	заканчэння
паддяешся	паддаешся
Адрозніваюшіа	Адрозніваюцца
наглядям	наглядам
шмлтлікіх	шматлікіх
даўгалсцця	даўгалецця
Абэран	Абэрак
Днялро	Дняпро
эвяртаем	звяртаем
звязвасцца	звязваецца
Прааільна	Правільна
пазнве	пазнае
задлчам	задачам
грамэапісу	грамзапісу
высоко	высока
смеццс	смецце
інстытутлх	інстытутах
парашутыстл	парашутыста
саўглсы	саўгасы
вобразпай	вобразнай
лбласную	абласную
аыпіхаць	выпіхаць
перспектыпай	перспектывай
нязначнля	нязначная
чарцвжы	чарцяжы
скажапі	скажалі
галадою	галадаю
набыцце	набыццё
пасгупілі	паступілі
Пісьмённікі	Пісьменнікі
нраяву	праяву
хвзлявалася	хвалявалася
рэдакныйную	рэдакцыйную
абыякавагць	абыякавасць
адвлжнага	адважнага
сорамнл	сорамна
Ігрзць	Іграць
сяброўскас	сяброўскае
вызпачаўся	вызначаўся
Міжнольна	Міжвольна
рэпетыцынны	рэпетыцыйны
радыёпрмёмнік	радыёпрыёмнік
намалянаў	намаляваў
цікаўпы	цікаўны
мэблепай	мэблевай
бярыне	бярыце
акаэнт	акцэнт
эдзейснены	здзейснены
клйзера	кайзера
ПвДлеткаў	ПаДлеткаў
пзтрэбен	патрэбен
беларусвх	беларусах
гагпадыні	гаспадыні
выхаяанцам	выхаванцам
звслуга	заслуга
Забойаы	Забойцы
палымянаспю	палымянасцю
дэманструецаа	дэманструецца
вералом	пералом
стракалі	страчалі
распячатыя	распачатыя
выйспі	выйсці
тэмпсрамент	тэмперамент
шклянкяй	шклянкай
аддяны	адданы
павінвы	павінны
нзмесніка	намесніка
нлвучанне	навучанне
шчырав	шчырая
Кнлжна	Кніжна
пылучае	вылучае
жыццярадаснан	жыццярадаснай
прэм'срах	прэм'ерах
Надзвычвй	Надзвычай
грамвдой	грамадой
лвтышоў	латышоў
машынабудаўнічмя	машынабудаўнічыя
нафтабазс	нафтабазе
малюнан	малюнак
Майсная	Майская
саромсецца	саромеецца
актапай	актавай
Дырнжыруе	Дырыжыруе
існінамі	ісцінамі
выквзаўся	выказаўся
свінаркя	свінарка
пятрульны	патрульны
ачмурас	ачмурае
спяшапца	спяшацца
студэнтлмі	студэнтамі
прыгажэншым	прыгажэйшым
сумяшчве	сумяшчае
металычнай	метадычнай
канпэртам	канцэртам
азорылася	азарылася
пахлваў	пахаваў
патрабаяанні	патрабаванні
вернясці	вернасці
грамадзянс	грамадзяне
сагырычнай	сатырычнай
звкончыў	закончыў
Кінястудыя	Кінастудыя
вбутку	абутку
перллом	пералом
хвдзіць	хадзіць
пвясоў	паясоў
кадэнцні	кадэнцыі
аднаўленнв	аднаўлення
неларыўнай	непарыўнай
улічввючы	улічваючы
рэмарзк	рэмарак
нвічкоў	цвічкоў
пялотнішчах	палотнішчах
тэхііалагічная	тэхналагічная
Драмвтург	Драматург
яуснай	вуснай
нямецІ	намецІ
Хутчэн	Хутчэй
грывалых	трывалых
роднагя	роднага
аднагллосна	аднагалосна
добраўнарадкаванню	добраўпарадкаванню
Ажыццяўляйцс	Ажыццяўляйце
выклнаўчага	выканаўчага
амерыквнскім	амерыканскім
слнтыметры	сантыметры
вечарэіа	вечарэла
букс1рны	буксірны
Самлгоншчыкам	Самагоншчыкам
выразпік	выразнік
аўтарн	аўтары
камлосту	кампосту
МІпскія	МІнскія
нрымасціўся	прымасціўся
Барысвве	Барысаве
галоўляй	гадоўляй
штодяённа	штодзённа
амбраэуры	амбразуры
пелагагічны	педагагічны
з'яўіяецца	з'яўляецца
праяільныя	правільныя
подзаігамі	подзвігамі
спухмяны	слухмяны
аўтаматмкі	аўтаматыкі
кругввой	кругавой
еправа	справа
грамядскасць	грамадскасць
раэдатчыца	раздатчыца
даваснны	даваенны
пасяедчанне	пасведчанне
наровінь	наровіць
лачуццё	пачуццё
энаныя	знаныя
рэдакгары	рэдактары
эаахвочвальная	заахвочвальная
няшчырл	няшчыра
самадзейнм	самадзейны
дякладчык	дакладчык
атрымзнне	атрыманне
ііёткі	цёткі
агрымліваецца	атрымліваецца
эбірала	збірала
Камсвмол	Камсамол
Слартакіяда	Спартакіяда
валікай	вялікай
лерайшлі	перайшлі
неабсяжііых	неабсяжных
мочынь	мочыць
паслявасннаму	пасляваеннаму
выратананы	выратаваны
лробязь	дробязь
плнясе	панясе
здрвднікам	здраднікам
склалальнікам	складальнікам
пазблўлены	пазбаўлены
гаворыццв	гаворыцца
іамакі	ламакі
каханііе	каханне
бвдзёрыя	бадзёрыя
фотаапараг	фотаапарат
цяперлшняга	цяперашняга
прафсвюзы	прафсаюзы
вільныя	пільныя
цёнлымі	цёплымі
пераіік	пералік
кллсаў	класаў
мацярыпстве	мацярынстве
эемляку	земляку
Багятыроў	Багатыроў
тэлсвізара	тэлевізара
гадлін	гадзін
давярвць	давяраць
бвбовых	бабовых
медыцынскан	медыцынскай
абвсрглі	абверглі
гумяністычным	гуманістычным
калоссс	калоссе
людасдаў	людаедаў
асабліаыя	асаблівыя
1нстытутаў	інстытутаў
практмкай	практыкай
лужыііу	лужыну
квмсамольскіх	камсамольскіх
забарлняю	забараняю
Крлкадзіл	Кракадзіл
вындуць	выйдуць
вырашапь	вырашаць
гаДз1ну	гаДзіну
апраўланымі	апраўданымі
прачытаііь	прачытаць
набывялі	набывалі
эмяншаецца	змяншаецца
ганллёвая	гандлёвая
квмпазіцыйны	кампазіцыйны
абыгрывапне	абыгрыванне
зразумсю	зразумею
батраь	батрак
Сняточная	Святочная
уцягнае	уцягвае
агтачы	астачы
служачлга	служачага
кіравлння	кіравання
гапраўдных	сапраўдных
гентара	гектара
прмняць	прыняць
сллдат	салдат
лрагрэсіўнага	прагрэсіўнага
дасніпныя	дасціпныя
паліцзйскім	паліцэйскім
пгражыванняў	перажыванняў
авалодвння	авалодання
алросткамі	адросткамі
прыгараламі	прыгарадамі
выслялі	выслалі
глыбокве	глыбокае
праэаіка	празаіка
індывідуаліэм	індывідуалізм
змагаюцііа	змагаюцца
абзааяліся	абзавяліся
Канфгрэнцыя	Канферэнцыя
супервоклядкамі	супервокладкамі
лэмакратызму	дэмакратызму
Сыкаюнь	Сыкаюць
містзр	містэр
пвдыход	падыход
ластупова	паступова
дазполу	дазволу
розніны	розніцы
тэлефанісгак	тэлефаністак
цулоўнымі	цудоўнымі
Ввндруюць	Вандруюць
адвольнаснь	адвольнасць
шыблмі	шыбамі
разлбрацца	разабрацца
пароджаныя	народжаныя
паяерыла	паверыла
сутнкненні	сутыкненні
павароў	папароў
хавзючы	хаваючы
дзенка	дзедка
ствврылі	стварылі
прамоўны	прамоўцы
насненгазета	насценгазета
драўлякых	драўляных
блелнай	бледнай
эакласці	закласці
шыльдл	шыльда
мятывы	матывы
падсупуўся	падсунуўся
піяііісткай	піяністкай
Пралстарскай	Пралетарскай
пакупашіа	пакупацца
палвядзенні	падвядзенні
Квроткімі	Кароткімі
падманоўваў	падмацоўваў
адзінаА	адзінцА
фвсадаў	фасадаў
Дзяеры	Дзверы
расінскай	расійскай
нягсглае	нягеглае
уэнікаюць	узнікаюць
шкілега	шкілета
уэбагаціў	узбагаціў
магутііых	магутных
карыспым	карысным
прамояай	прамовай
твярах	тварах
хораэнаўства	хоразнаўства
выгпяд	выгляд
адлрваўся	адарваўся
эаключэнняў	заключэнняў
мерапрыемстпы	мерапрыемствы
злкліку	закліку
нокнах	вокнах
асваекні	асваенні
нлвуцы	навуцы
палпісныя	падпісныя
каменданнкім	каменданцкім
емуткуюць	смуткуюць
нзпісаць	напісаць
рэчвіснасці	рэчаіснасці
првявіў	праявіў
губляйне	губляйце
прнвет	прывет
нрыцягнула	прыцягнула
спадарожнан	спадарожнай
зпавядання	апавядання
эабяспечваюць	забяспечваюць
напоўнеііы	напоўнены
звпоўніць	запоўніць
надтаварнік	падтаварнік
арцельнлй	арцельнай
васлярэвалюцыйным	паслярэвалюцыйным
пысокую	высокую
Нянравільна	Няправільна
пзказаў	паказаў
выгала	выгада
апаэтызованы	апаэтызаваны
сімвалілуе	сімвалізуе
вырабн	вырабы
наязлжае	наязджае
вырадкя	вырадка
дрэваыі	дрэвамі
масаввй	масавай
сёлстняй	сёлетняй
эладзеяў	зладзеяў
шчаеце	шчасце
прыгонпага	прыгоннага
падкрэслеііа	падкрэслена
эааітаў	эалітаў
пзйсці	пайсці
Дуброўсні	Дуброўскі
мыеліцелі	мысліцелі
шчасліввя	шчаслівая
вслічнай	велічнай
драбніп	драбніц
яыстаяў	выстаяў
перспектыяы	перспектывы
шматграпнага	шматграннага
нелегальня	нелегальна
прыехапь	прыехаць
гаспадзрчае	гаспадарчае
шыешіа	шыецца
пяйшла	пайшла
прыемнасню	прыемнасцю
стараемгя	стараемся
Сягоііня	Сягоння
няроўнв	няроўна
фактлмі	фактамі
дошііы	дошцы
эласлівай	зласлівай
абмежавань	абмежаваць
пвроду	пароду
ствярэнню	стварэнню
стрлціў	страціў
ствврэнні	стварэнні
сііэнарыю	сцэнарыю
Вяршавы	Варшавы
дзекябрыстаў	дзекабрыстаў
камітэга	камітэта
эбіраўся	збіраўся
пабаганелі	пабагацелі
мулычнай	музычнай
дастаўцм	дастаўцы
выбрзлі	выбралі
зраўнаць	зраўняць
Польсквй	Польскай
ЛІгаратура	ЛІтаратура
апусканнл	апусканні
лічыцк	лічыць
пзлёгкай	палёгкай
нанлепшых	найлепшых
псрсанажах	персанажах
палітмчных	палітычных
захочлш	захочаш
буглоў	буслоў
прымякоў	прымакоў
перавссці	перавесці
працаўпікамі	працаўнікамі
Алраджэння	Адраджэння
цінныя	цэнныя
мееяцаў	месяцаў
Сакаяітыя	Сакавітыя
партмя	партыя
індывідулльных	індывідуальных
набынаюць	набываюць
даклядны	дакладны
імкліпы	імклівы
жанравлга	жанравага
пакорлівагць	пакорлівасць
пераехань	пераехаць
Дэлеглты	Дэлегаты
паргыяй	партыяй
кінанавелан	кінанавелай
мзгчымасць	магчымасць
вучэннгм	вучэннем
еучасныя	сучасныя
прызнавлцца	прызнавацца
таксям	таксам
нрысвоена	прысвоена
вялучыя	вядучыя
даплмагаў	дапамагаў
наманы	намады
встэрынарным	ветэрынарным
выпуснаюцца	выпускаюцца
агітбрыглды	агітбрыгады
лалымнее	палымнее
трангпарце	транспарце
нрыехаць	прыехаць
жыцпёвым	жыццёвым
врацуе	працуе
увечвры	увечары
сукснку	сукенку
Паступленнс	Паступленне
нрыбыткі	прыбыткі
прафесіяііальных	прафесіянальных
дзённіч	дзённік
кіёгку	кіёску
Клнтрабандысты	Кантрабандысты
культурнзе	культурнае
абяцле	абяцае
бываюііь	бываюць
шурпвтыя	шурпатыя
саснопым	сасновым
прыэначэннем	прызначэннем
улачах	удачах
Фогарэпартаж	Фотарэпартаж
чортапалоху	чартапалоху
нланіроўка	планіроўка
калгзсным	калгасным
кодзксе	кодэксе
нанцэртнай	канцэртнай
Абаронл	Абарона
албыЎся	адбыЎся
мвтэрыялу	матэрыялу
абысніся	абысціся
ягкрава	яскрава
пакаэалі	паказалі
ляжыііь	ляжыць
пяртызанскі	партызанскі
Уьраіны	Украіны
звллкі	звалкі
школьнзй	школьнай
паліфанічнымі	поліфанічнымі
алрозніць	адрозніць
валонага	валовага
эванні	званні
пздбіты	падбіты
вакальвая	вакальная
з'явіпца	з'явіцца
пісьменіііцкага	пісьменніцкага
сутулвя	сутулая
Салігорсклга	Салігорскага
здммацца	здымацца
цакаленне	пакаленне
пальцлмі	пальцамі
адзеннсм	адзеннем
балгарскас	балгарскае
карціма	караіма
хвялявання	хвалявання
абазнячылі	абазначылі
Малалому	Маладому
раскаэаў	расказаў
мносіх	многіх
Гродзенскагв	Гродзенскага
тапарышаў	таварышаў
ездзіаь	ездзіць
дяставіў	даставіў
нацыяняльныя	нацыянальныя
памеснік	намеснік
уклЮчыпь	уклЮчыць
сантаў	сайтаў
бачыііе	бачыце
агігбрыгад	агітбрыгад
абвінавзчвае	абвінавачвае
чаргопую	чарговую
Баранввічы	Баранавічы
самядзейнаму	самадзейнаму
перакурыпь	перакурыць
длпамогу	дапамогу
сярідзіны	сярэдзіны
падвёшвалі	падвешвалі
скіраааны	скіраваны
незябыўныя	незабыўныя
Гзліна	Галіна
пяжкіх	цяжкіх
амерыкзнскай	амерыканскай
трывожняга	трывожнага
арглнічна	арганічна
вылучаюцна	вылучаюцца
энебываўся	знебываўся
нанапіла	накапіла
нылучацца	вылучацца
незябыўных	незабыўных
камуніама	камунізма
рашзнні	рашэнні
нрэсаў	прэсаў
лланетарыя	планетарыя
партыйняя	партыйная
пірычная	лірычная
фармавяння	фармавання
светлв	светла
самадзейнвй	самадзейнай
заставацна	заставацца
стараспі	старасці
прапілы	правілы
Мллога	Малога
энергстыкі	энергетыкі
аб'ядноўчае	аб'яднаўчае
ныпіку	ныціку
уносянь	уносяць
разважнаму	разважному
адрываецпа	адрываецца
мсталаў	металаў
публіканыі	публікацыі
уэначальваў	узначальваў
мілагучнаснь	мілагучнасць
пыключыць	выключыць
сяпраЎднай	сапраЎднай
параіццл	параіцца
Іввнаўскага	Іванаўскага
мападосцю	маладосцю
